Pair_Speaker_turn,PairID,PersonID,Turn Start,Turn End,Rms,Pitch,Pulse,ZCR,Spectral_Centroid,Spectral_Bandwidth
20240522_1325_S3WBLMW3QQXC_B_B_33,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,514.31177,515.18774,0.040204684035243896,604.9531662552445,1.357208301097561,0.13099037728658536,5278.235416548969,5005.592526695909
20240522_1325_S3WBLMW3QQXC_A_A_34,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,519.73175,532.0486,0.00808401031645022,255.3588107022372,0.8607999957662338,0.06951433982683983,5705.249266871563,6410.940377634352
20240522_1325_S3WBLMW3QQXC_B_B_35,20240522_1325_S3WBLMW3QQXC,1716396830476-94efdc3a-3f86-41c3-bf7a-fb60f737a28a-cam-audio-1716396831425.csv,533.9,554.105,0.020645007117296724,490.2708711089281,0.9575447869720168,0.33445718799498414,9071.033712929082,5268.967391640921
20240522_1325_S3WBLMW3QQXC_A_A_36,20240522_1325_S3WBLMW3QQXC,1716396830476-6da5a1b9-8cc7-4071-917d-7fe090c4fdb4-cam-audio-1716396836050.csv,695.9045,696.22314,0.012187488193103448,440.9459128544248,1.2678112555172414,0.06771955818965517,3709.829026455314,5922.853491292831
20240522_1325_S3WBLMYQ0NND_B_B_1,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,0.19973683,0.6791053,0.06847381996666665,282.33814222547744,0.6214045026666667,0.015266927083333333,590.1546504567369,829.4756708664205
20240522_1325_S3WBLMYQ0NND_A_A_2,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,1.4766364,2.195,0.06906335611880596,716.1988058517228,0.961830853641791,0.049345557369402986,1878.162867394451,1824.3123003921753
20240522_1325_S3WBLMYQ0NND_B_B_3,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,2.8362632,4.1145787,0.05965958038650833,325.8286474863688,0.7899479851466665,0.027685546875,1098.07825775228,1459.8877472352242
20240522_1325_S3WBLMYQ0NND_A_A_4,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,4.829,5.1482725,0.04044452329,917.5048878987631,1.4137562283333334,0.07408854166666666,2171.917160452887,1516.5931590393197
20240522_1325_S3WBLMYQ0NND_B_B_5,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,5.712474,6.7511053,0.03788089366995876,532.3425832532116,0.9470844373329896,0.04229421713917526,1342.2807984627018,1530.7086341725185
20240522_1325_S3WBLMYQ0NND_A_A_6,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,7.463,8.341,0.0470793413755122,548.0842579029224,0.9336621246341462,0.038931497713414635,1322.48452793678,1269.6796379781135
20240522_1325_S3WBLMYQ0NND_B_B_7,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,8.988158,14.101421,0.029852826469368748,431.7365441004435,0.5528533532540209,0.061962890625,2526.7321475053923,2777.573671669286
20240522_1325_S3WBLMYQ0NND_A_A_8,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,15.61902,30.716288,0.05077719051807138,723.4487547546431,0.9210553653238163,0.06254589498674912,2291.7546906157218,2038.8381063975987
20240522_1325_S3WBLMYQ0NND_B_B_8,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,24.90062,25.140266,0.015014027549545455,817.5069677179509,0.8478539171363638,0.04905007102272727,1914.067281659347,2480.288356544984
20240522_1325_S3WBLMYQ0NND_B_B_9,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,31.378035,33.528393,0.062057073117079205,656.1937491539682,1.0448779158564356,0.03972482209158416,1212.4612328414953,1282.0310498750507
20240522_1325_S3WBLMYQ0NND_A_A_10,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,35.42412,45.902527,0.06462354939646334,754.3018269239609,0.9837308018755601,0.0598050057281059,2136.9587960301815,1766.6590542733077
20240522_1325_S3WBLMYQ0NND_B_B_10,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,45.088387,45.247498,0.04557274085714286,399.7529547555106,1.1752181425,0.04474748883928571,1123.3192515768467,1174.604986744735
20240522_1325_S3WBLMYQ0NND_B_B_11,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,46.759083,78.34758,0.05296589315444429,610.5000405554373,0.8892414718280081,0.056599577724088454,1774.564788079395,1715.1084301680116
20240522_1325_S3WBLMYQ0NND_A_A_12,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,79.45097,120.55304,0.0712073462595349,758.1802915605886,1.0554950743557747,0.04880328640020763,1625.9205100897448,1409.1839241085947
20240522_1325_S3WBLMYQ0NND_B_B_13,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,121.64911,129.1584,0.060341285151309654,509.42506701296026,0.9273737014814345,0.04073819247159091,1439.6874612803292,1678.7600377283072
20240522_1325_S3WBLMYQ0NND_A_A_14,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,129.65381,130.53322,0.0832423766097561,755.9681348102848,1.1094944167682927,0.04972727705792683,1657.9547551068872,1316.4530858282378
20240522_1325_S3WBLMYQ0NND_B_B_15,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,130.91507,145.3803,0.05084673175105752,601.8511361773163,0.8834422199980015,0.05107724350110619,1691.5293747678436,1722.8237566355338
20240522_1325_S3WBLMYQ0NND_A_A_16,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,146.54,150.22,0.07710696443568116,719.3249084030373,1.1896186984794204,0.05352977807971015,1743.6098669411806,1411.7642974038304
20240522_1325_S3WBLMYQ0NND_B_B_17,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,151.1259,154.79669,0.07364620238790988,524.709865880567,0.797143922884593,0.04416248410247093,1821.845767613393,2107.425024019988
20240522_1325_S3WBLMYQ0NND_A_A_18,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,155.99397,179.96799,0.0730643577400939,812.502036562802,1.094077283611629,0.05024929072096128,1664.3131346056186,1361.7100456510416
20240522_1325_S3WBLMYQ0NND_B_B_19,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,180.67917,226.94327,0.050891047156429337,676.8681769457328,0.9255202160132604,0.054936087733456304,1773.2902237613184,1719.3489137126323
20240522_1325_S3WBLMYQ0NND_A_A_20,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,227.91939,275.77905,0.07610179529897347,755.394263200417,1.0544865024493066,0.04919039116475373,1701.9477644042267,1453.7376602495517
20240522_1325_S3WBLMYQ0NND_B_B_21,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,278.245,290.07712,0.044891146617651936,637.2069581182834,0.829114027246568,0.059489299199729485,2252.285796072575,2320.4048974752714
20240522_1325_S3WBLMYQ0NND_A_A_22,20240522_1325_S3WBLMYQ0NND,1716394796991-a3a240da-5185-4971-811f-510c021efb1c-cam-audio-1716394797955.csv,290.3179,320.44376,0.08649865064418094,670.2015617305766,1.1361733304272663,0.042761092145449715,1507.3465255079584,1319.5324129741625
20240522_1325_S3WBLMYQ0NND_B_B_23,20240522_1325_S3WBLMYQ0NND,1716394796991-95ad14ba-307c-4753-a5e3-6a9b114eba22-cam-audio-1716394797954.csv,322.87054,362.665,0.04114181200687184,687.9274722719656,0.7925928353433171,0.06113556153652815,2200.0610833440774,2194.332043860861
