Pair_Speaker_turn,PairID,Speaker,Turn,Speaker_turn,Turn_Boundary,Turn Start,Turn End
20240521_1823_WBLMay1C89Q6_A_64,20240521_1823_WBLMay1C89Q6,A,64,A_64,1373.25045,1382.9474,1384.3055
20240521_1823_WBLMay1C89Q6_B_65,20240521_1823_WBLMay1C89Q6,B,65,B_65,1395.2553,1385.133,1407.5632
20240521_1823_WBLMay1C89Q6_A_66,20240521_1823_WBLMay1C89Q6,A,66,A_66,1400.9027,1408.9318,1416.6724
20240521_1823_WBLMay1C89Q6_B_66,20240521_1823_WBLMay1C89Q6,B,66,B_66,1411.6476,1414.1235,1414.3634
20240521_1823_WBLMay1C89Q6_Both_66,20240521_1823_WBLMay1C89Q6,Both,66,Both_66,1414.67975,1414.5975,1415.236
20240521_1823_WBLMay1C89Q6_B_67,20240521_1823_WBLMay1C89Q6,B,67,B_67,1420.9963,1418.9205,1427.3951
20240521_1823_WBLMay1C89Q6_A_68,20240521_1823_WBLMay1C89Q6,A,68,A_68,1427.4068,1428.525,1435.8931
20240521_1823_WBLMay1C89Q6_B_69,20240521_1823_WBLMay1C89Q6,B,69,B_69,1435.9028,1437.778,1443.2806
20240521_1823_WBLMay1C89Q6_A_70,20240521_1823_WBLMay1C89Q6,A,70,A_70,1451.6895,1444.115,1465.601
20240521_1823_WBLMay1C89Q6_B_70,20240521_1823_WBLMay1C89Q6,B,70,B_70,1454.5345,1464.715,1464.954
20240521_1823_WBLMay1C89Q6_B_71,20240521_1823_WBLMay1C89Q6,B,71,B_71,1504.9122499999999,1465.8301,1545.1095
20240521_1823_WBLMay1C89Q6_A_72,20240521_1823_WBLMay1C89Q6,A,72,A_72,1505.8350999999998,1545.28,1545.8401
20240521_1823_WBLMay1C89Q6_B_73,20240521_1823_WBLMay1C89Q6,B,73,B_73,1545.9891,1546.3787,1546.6982
20240521_1823_WBLMay1C89Q6_A_74,20240521_1823_WBLMay1C89Q6,A,74,A_74,1547.18935,1547.76,1548.0
20240521_1823_WBLMay1C89Q6_B_75,20240521_1823_WBLMay1C89Q6,B,75,B_75,1550.58375,1552.7686,1553.4075
